Price,Date
23872.1261,02/21/2025
24286.554400000005,02/20/2025
24392.2755,02/19/2025
24334.4326,02/18/2025
24275.081100000003,02/14/2025
24276.8279,02/13/2025
24026.320900000002,02/12/2025
24091.945,02/11/2025
24083.7668,02/10/2025
23923.1803,02/07/2025
24151.7729,02/06/2025
24064.0756,02/05/2025
23970.3836,02/04/2025
23798.442900000002,02/03/2025
23980.9041,01/31/2025
24102.5449,01/30/2025
23976.0607,01/29/2025
24088.769,01/28/2025
23868.7516,01/27/2025
24221.9228,01/24/2025
24291.278700000003,01/23/2025
24162.8889,01/22/2025
24015.4828,01/21/2025
23806.7402,01/17/2025
23571.239800000003,01/16/2025
23621.1427,01/15/2025
23196.3527,01/14/2025
23169.793400000002,01/13/2025
23133.3488,01/10/2025
23495.4525,01/08/2025
23458.8491,01/07/2025
23722.2586,01/06/2025
23591.605900000002,01/03/2025
23298.143500000002,01/02/2025
23350.0711,12/31/2024
23450.5518,12/30/2024
23704.234800000002,12/27/2024
23969.232300000003,12/26/2024
23978.9588,12/24/2024
23717.0579,12/23/2024
23545.474500000004,12/20/2024
23292.3076,12/19/2024
23312.4752,12/18/2024
24020.9217,12/17/2024
24114.0976,12/16/2024
24022.8273,12/13/2024
24023.4625,12/12/2024
24154.2343,12/11/2024
23958.5927,12/10/2024
24029.814500000004,12/09/2024
24178.371900000002,12/06/2024
24118.1867,12/05/2024
24163.3653,12/04/2024
24018.0236,12/03/2024
24007.1855,12/02/2024
23948.548600000002,11/29/2024
23814.9978,11/27/2024
23905.8711,11/26/2024
23769.8589,11/25/2024
23698.2798,11/22/2024
23616.3787,11/21/2024
23490.9267,11/20/2024
23490.4106,11/19/2024
23397.6714,11/18/2024
23306.3614,11/15/2024
23618.2049,11/14/2024
23761.9586,11/13/2024
23756.440300000002,11/12/2024
23825.359500000002,11/11/2024
23802.2938,11/08/2024
23713.207000000002,11/07/2024
23538.288800000002,11/06/2024
22957.557200000003,11/05/2024
22679.3793,11/04/2024
22743.336000000003,11/01/2024
22650.6365,10/31/2024
23080.269900000003,10/30/2024
23156.6924,10/29/2024
23119.374400000004,10/28/2024
23058.2364,10/25/2024
23065.1442,10/24/2024
23015.757400000002,10/23/2024
23229.264,10/22/2024
23240.3006,10/21/2024
23282.7399,10/18/2024
23190.6359,10/17/2024
23194.605900000002,10/16/2024
23086.5822,10/15/2024
23263.6045,10/14/2024
23085.6691,10/11/2024
22946.7985,10/10/2024
22994.398800000003,10/09/2024
22831.986100000002,10/08/2024
22612.8818,10/07/2024
22831.7479,10/04/2024
22628.7618,10/03/2024
22666.8738,10/02/2024
22663.737500000003,10/01/2024
22877.045599999998,09/30/2024
22780.534900000002,09/27/2024
22809.1189,09/26/2024
22717.3722,09/25/2024
22759.7321,09/24/2024
22702.7229,09/23/2024
22639.1235,09/20/2024
22683.150800000003,09/19/2024
22304.4922,09/18/2024
22369.282600000002,09/17/2024
22363.3673,09/16/2024
22335.299400000004,09/13/2024
22215.167200000004,09/12/2024
22049.8961,09/11/2024
21817.214400000004,09/10/2024
21720.0685,09/09/2024
21471.4274,09/06/2024
21848.5377,09/05/2024
21914.6779,09/04/2024
21949.852100000004,09/03/2024
22424.148,08/30/2024
22200.0812,08/29/2024
22200.9546,08/28/2024
22334.426000000003,08/27/2024
22298.8548,08/26/2024
22369.4017,08/23/2024
22115.440800000004,08/22/2024
22314.774500000003,08/21/2024
22220.5664,08/20/2024
22264.752500000002,08/19/2024
22050.3725,08/16/2024
22006.583400000003,08/15/2024
21657.1837,08/14/2024
21574.687100000003,08/13/2024
21217.228300000002,08/12/2024
21216.3152,08/09/2024
21117.660700000004,08/08/2024
20642.015,08/07/2024
20802.9191,08/06/2024
20589.7301,08/05/2024
21225.843200000003,08/02/2024
21623.319600000003,08/01/2024
21923.531000000003,07/31/2024
21582.6668,07/30/2024
21690.253800000002,07/29/2024
21672.627000000004,07/26/2024
21434.903400000003,07/25/2024
21545.706100000003,07/24/2024
22056.287800000002,07/23/2024
22090.7077,07/22/2024
21854.850000000002,07/19/2024
22012.0223,07/18/2024
22185.431900000003,07/17/2024
22498.784,07/16/2024
22355.943400000004,07/15/2024
22292.939500000004,07/12/2024
22170.6238,07/11/2024
22366.6227,07/10/2024
22140.6106,07/09/2024
22124.214500000002,07/08/2024
22101.7443,07/05/2024
21981.9694,07/03/2024
21870.7697,07/02/2024
21736.107300000003,07/01/2024
21678.1056,06/28/2024
21766.9939,06/27/2024
21747.263,06/26/2024
21713.121000000003,06/25/2024
21628.0439,06/24/2024
21694.541400000002,06/21/2024
21728.484900000003,06/20/2024
21783.5091,06/18/2024
21728.7231,06/17/2024
21563.452,06/14/2024
21571.9478,06/13/2024
21521.4891,06/12/2024
21340.0204,06/11/2024
21282.336300000003,06/10/2024
21227.5503,06/07/2024
21251.251200000002,06/06/2024
21255.4991,06/05/2024
21006.6198,06/04/2024
20975.097999999998,06/03/2024
20951.7147,05/31/2024
20784.8556,05/30/2024
20909.7915,05/29/2024
21064.9788,05/28/2024
21059.738400000002,05/24/2024
20913.324800000002,05/23/2024
21068.829700000002,05/22/2024
21125.9977,05/21/2024
21073.276100000003,05/20/2024
21053.981900000002,05/17/2024
21029.487,05/16/2024
21073.355499999998,05/15/2024
20829.319600000003,05/14/2024
20729.0374,05/13/2024
20734.039600000004,05/10/2024
20699.8976,05/09/2024
20595.0499,05/08/2024
20595.169,05/07/2024
20567.537800000002,05/06/2024
20357.3263,05/03/2024
20104.874,05/02/2024
19923.0083,05/01/2024
19991.6893,04/30/2024
20311.194900000002,04/29/2024
20246.841200000003,04/26/2024
20042.2274,04/25/2024
20134.3711,04/24/2024
20130.0835,04/23/2024
19892.082000000002,04/22/2024
19719.9031,04/19/2024
19894.1464,04/18/2024
19938.1737,04/17/2024
20054.097700000002,04/16/2024
20095.4254,04/15/2024
20339.937700000002,04/12/2024
20640.268200000002,04/11/2024
20487.740800000003,04/10/2024
20683.3427,04/09/2024
20653.4883,04/08/2024
20661.2298,04/05/2024
20434.4237,04/04/2024
20689.6153,04/03/2024
20667.065700000003,04/02/2024
20817.766900000002,04/01/2024
20859.769500000002,03/28/2024
20836.5053,03/27/2024
20658.2126,03/26/2024
20716.2143,03/25/2024
20779.694600000003,03/22/2024
20808.8741,03/21/2024
20741.7414,03/20/2024
20558.6847,03/19/2024
20443.1974,03/18/2024
20314.8473,03/15/2024
20447.4056,03/14/2024
20506.280700000003,03/13/2024
20545.821900000003,03/12/2024
20318.2218,03/11/2024
20341.0493,03/08/2024
20474.7192,03/07/2024
20265.897200000003,03/06/2024
20162.2405,03/05/2024
20369.8715,03/04/2024
20394.2076,03/01/2024
20232.1919,02/29/2024
20126.947200000002,02/28/2024
20160.374600000003,02/27/2024
20126.0341,02/26/2024
20202.536,02/23/2024
